,model,R2,Pearson_r,RMSE,MAE,n_imputed,missingness_prop,dataset,missingness
0,mean,-309.2993695625189,,1.201155239752321,1.183567198806723,39.4,0.1,qsar,mnar
1,mice,-53.064094418682,0.3444314500591821,0.7030103109901178,0.6655673297474858,39.4,0.1,qsar,mnar
2,softimpute,-160.4299830570818,0.1811487747685689,1.0885360533009245,1.0643117473516386,39.4,0.1,qsar,mnar
3,missforest,-25.762863798113877,0.3131163379107566,0.5788644496237554,0.5532271637598474,39.4,0.1,qsar,mnar
4,sudoku,-125.64250496375988,0.1508075490431883,0.8588814098711974,0.8030270151808718,39.4,0.1,qsar,mnar
5,median,-331.4927494113969,,1.2368470728984502,1.2193288365846937,39.4,0.1,qsar,mnar
6,factorization,-139.70369639176369,0.2107505570341195,1.0631555930690966,1.0356419952738118,39.4,0.1,qsar,mnar
7,knn,-64.35538601051515,0.0414077584070077,0.7248007337677065,0.6896130467611348,39.4,0.1,qsar,mnar
8,mean,-309.33352339054505,,1.2028875447646734,1.1858887211550613,64.525,0.2,qsar,mnar
9,factorization,-139.80326236576337,0.256059711370934,1.068921163723844,1.0418699898899628,64.525,0.2,qsar,mnar
10,softimpute,-160.65093689377198,0.1980245849313521,1.0957775618261831,1.0724155363670806,64.525,0.2,qsar,mnar
11,missforest,-22.825121826816392,0.3114147179872642,0.5937191746056232,0.5702890284013087,64.525,0.2,qsar,mnar
12,knn,-63.06167643173076,0.0606416063267953,0.7354225210113123,0.7028894565648822,64.525,0.2,qsar,mnar
13,sudoku,-125.134410212574,0.1416560008462342,0.8831233557541431,0.8286190135928291,64.525,0.2,qsar,mnar
14,median,-331.50327899988054,,1.2365370034341825,1.2194622898786829,64.525,0.2,qsar,mnar
15,mice,-57.383663520793576,0.3434719584780394,0.7021518122905176,0.6636449466305544,64.525,0.2,qsar,mnar
16,sudoku,-133.8994887895191,0.0514833398768742,0.8944307028278752,0.841248257831469,87.725,0.3,qsar,mnar
17,median,-331.5004607784363,,1.2363661444499496,1.2193830498479628,87.725,0.3,qsar,mnar
18,mice,-80.65174899995777,0.3544629632377668,0.7189821616369176,0.678612741418311,87.725,0.3,qsar,mnar
19,missforest,-40.800325201647816,0.1489893442386962,0.6549987601313856,0.6241900017728632,87.725,0.3,qsar,mnar
20,softimpute,-161.2164208920192,0.2457763505095972,1.102141807617424,1.0787961050208403,87.725,0.3,qsar,mnar
21,knn,-62.18735407405196,0.0526529233236325,0.7247618203700108,0.6949233876406585,87.725,0.3,qsar,mnar
22,mean,-309.3532133681103,,1.2032758048809131,1.1864568385084913,87.725,0.3,qsar,mnar
23,factorization,-139.8190426678922,0.2240385964625102,1.0796474538349774,1.0519498446210949,87.725,0.3,qsar,mnar
24,mice,-90.1222062595116,0.337797611917491,0.7566236837201011,0.7070304107644695,108.925,0.4,qsar,mnar
25,factorization,-139.04984581328526,0.1143415206383868,1.087521679686403,1.0594090030340737,108.925,0.4,qsar,mnar
26,mean,-309.3541962893495,,1.203621569494314,1.1866651343374386,108.925,0.4,qsar,mnar
27,missforest,-31.859330966796698,0.1968725812756143,0.6158769919353965,0.5898864953792854,108.925,0.4,qsar,mnar
28,softimpute,-160.4372177718319,0.2308665320455934,1.1039909468180404,1.080038488444141,108.925,0.4,qsar,mnar
29,knn,-65.60403600317802,0.0432125780059041,0.7260147015287103,0.6960173250586104,108.925,0.4,qsar,mnar
30,median,-331.4998927324551,,1.2366622087857575,1.2194928317699127,108.925,0.4,qsar,mnar
31,sudoku,-143.77170232743578,0.0412579378753835,0.897377287102193,0.8440822672707295,108.925,0.4,qsar,mnar
32,knn,-59.01092685201784,0.0114629501090673,0.7250887086758293,0.6953329661795246,129.925,0.5,qsar,mnar
33,mean,-309.35580957443733,,1.203505589174283,1.1867349554757822,129.925,0.5,qsar,mnar
34,missforest,-27.092240559305615,0.2186639365385063,0.6177466064868653,0.592395349303396,129.925,0.5,qsar,mnar
35,softimpute,-169.72178200744423,0.1901945196385951,1.106558281941768,1.082421415748541,129.925,0.5,qsar,mnar
36,median,-331.5010222493996,,1.2365726808302469,1.2195225511174528,129.925,0.5,qsar,mnar
37,mice,-102.59331010787255,0.3074900424243837,0.7847936881256128,0.7251771794659528,129.925,0.5,qsar,mnar
38,sudoku,-150.82994813779231,0.1478973949674377,0.8920733715303235,0.8452350279770984,129.925,0.5,qsar,mnar
39,factorization,-153.35936213658164,0.1688238594815114,1.1027335714742363,1.0741028875498793,129.925,0.5,qsar,mnar
0,knn,-21.450677025454937,0.1844004796018684,1.2089786301093353,1.1670528141691463,51.121212121212125,0.1,arcene,mnar
1,mice,-16.070294597971365,0.3756150572168242,1.1427941108731616,1.109705941278549,51.121212121212125,0.1,arcene,mnar
2,mean,-37.767710026484714,,1.3157049181588678,1.2854890244202382,51.121212121212125,0.1,arcene,mnar
3,factorization,-17.795588499866337,0.3329946712417662,1.1990558823327933,1.1666418180142686,51.121212121212125,0.1,arcene,mnar
4,sudoku,-15.895597097169755,0.2721056329534069,1.124032927447062,1.08823444711142,51.121212121212125,0.1,arcene,mnar
5,median,-43.45661149651209,,1.3966542209956367,1.3681592176350768,51.121212121212125,0.1,arcene,mnar
6,missforest,-14.343368400635663,0.3294463567532343,1.1187179860424858,1.0867019205771895,51.121212121212125,0.1,arcene,mnar
7,softimpute,-30.62736025301263,0.0721699799040306,1.307427215089579,1.2762981983848096,51.121212121212125,0.1,arcene,mnar
8,mean,-38.14166777734457,,1.3245766234967953,1.2952618498350572,82.31313131313131,0.2,arcene,mnar
9,softimpute,-32.03192880167956,0.0565982827191026,1.3303975409185007,1.300403485538935,82.31313131313131,0.2,arcene,mnar
10,factorization,-19.74845879793907,0.2446898926715071,1.238354665341743,1.2055583942633632,82.31313131313131,0.2,arcene,mnar
11,mice,-18.00897339109324,0.2806714143386455,1.1694360523752478,1.1368076854374904,82.31313131313131,0.2,arcene,mnar
12,knn,-22.178620971981054,0.1190219761846372,1.2249433009916766,1.187193167624356,82.31313131313131,0.2,arcene,mnar
13,sudoku,-16.48375663925002,0.1588711173826117,1.15103334219119,1.1157684237760948,82.31313131313131,0.2,arcene,mnar
14,median,-43.617502528479264,,1.4010623067882662,1.372876171859709,82.31313131313131,0.2,arcene,mnar
15,missforest,-16.621517931870752,0.2372797399319608,1.1511972666042352,1.117721006276348,82.31313131313131,0.2,arcene,mnar
16,sudoku,-17.531995265817784,0.1659234714732546,1.1746678617177615,1.138255253719504,101.44444444444444,0.3,arcene,mnar
17,median,-43.820644673664866,,1.4065112533798574,1.3782902397898418,101.44444444444444,0.3,arcene,mnar
18,knn,-22.4601294421992,0.1015710182032033,1.2372664685988406,1.1971274364608802,101.44444444444444,0.3,arcene,mnar
19,mice,-18.186346509101845,0.2348624397506734,1.1804304913767358,1.1468343143467268,101.44444444444444,0.3,arcene,mnar
20,missforest,-15.183764341654662,0.191918547316884,1.162292037696362,1.126629360338087,101.44444444444444,0.3,arcene,mnar
21,softimpute,-32.71983655171307,0.0260144550942423,1.3437094043711366,1.3141211841537777,101.44444444444444,0.3,arcene,mnar
22,factorization,-20.344914688121733,0.1225394349681679,1.2555478040436174,1.222469024681278,101.44444444444444,0.3,arcene,mnar
23,mean,-38.308629304526406,,1.330639723756034,1.3014921281183536,101.44444444444444,0.3,arcene,mnar
24,softimpute,-33.51673645878942,0.0156904929564684,1.353974581883343,1.3244501437072382,115.91919191919192,0.4,arcene,mnar
25,mean,-38.49844939569094,,1.335396865256299,1.3065988448956551,115.91919191919192,0.4,arcene,mnar
26,knn,-22.792443631329288,0.0773742161847327,1.2496322626004268,1.2101166174850957,115.91919191919192,0.4,arcene,mnar
27,factorization,-20.861967587427365,0.1100520195583839,1.2698390317655868,1.236313270997795,115.91919191919192,0.4,arcene,mnar
28,mice,-18.080087533505463,0.2585236231548286,1.1878362959427615,1.153908667675394,115.91919191919192,0.4,arcene,mnar
29,median,-44.021259225286975,,1.4110367333459224,1.3830866310093315,115.91919191919192,0.4,arcene,mnar
30,missforest,-15.244956304010657,0.1663107356833469,1.175614181659034,1.1409255334219035,115.91919191919192,0.4,arcene,mnar
31,sudoku,-16.84253390507836,0.1181208715815585,1.1885486017123452,1.1523943470151337,115.91919191919192,0.4,arcene,mnar
32,knn,-23.131585237327663,0.0699939545949634,1.2506044616213483,1.2107935775929295,127.9090909090909,0.5,arcene,mnar
33,factorization,-20.948789196321684,0.0457139804427505,1.2840153867725297,1.2496891399790784,127.9090909090909,0.5,arcene,mnar
34,mean,-38.714013576207094,,1.3404728733239637,1.312027111639105,127.9090909090909,0.5,arcene,mnar
35,median,-44.358279319524534,,1.41921409890642,1.3919415773199069,127.9090909090909,0.5,arcene,mnar
36,missforest,-15.752369832320976,0.1372509738349792,1.1899148015863497,1.1550058476512113,127.9090909090909,0.5,arcene,mnar
37,softimpute,-34.54030465699585,-0.0162959209775557,1.3655874323315125,1.336112482691228,127.9090909090909,0.5,arcene,mnar
