,dataset,missingness_type,missing_rate,method,rmse_mean,rank
249,qsar,mcar,0.1,mice,0.0954662225208959,3.0
250,qsar,mcar,0.1,softimpute,0.1429113807938461,5.0
251,qsar,mcar,0.1,sudoku,0.0831162546221799,1.0
252,qsar,mcar,0.2,factorization,0.1294344981567816,4.0
253,qsar,mcar,0.2,knn,0.0940786416000334,3.0
254,qsar,mcar,0.2,mean,0.1772805969316008,6.0
255,qsar,mcar,0.2,median,0.1845422947538126,7.0
256,qsar,mcar,0.2,mice,0.0933492618000946,2.0
257,qsar,mcar,0.2,softimpute,0.1307444450689591,5.0
258,qsar,mcar,0.2,sudoku,0.0851239151765212,1.0
259,qsar,mcar,0.3,factorization,0.1355756789521056,5.0
260,qsar,mcar,0.3,knn,0.097089814331245,3.0
261,qsar,mcar,0.3,mean,0.1747498157651356,6.0
262,qsar,mcar,0.3,median,0.1819173060031374,7.0
263,qsar,mcar,0.3,mice,0.0950685554828394,2.0
264,qsar,mcar,0.3,softimpute,0.1338041613827877,4.0
265,qsar,mcar,0.3,sudoku,0.0920985383284974,1.0
266,qsar,mcar,0.4,factorization,0.1473102095299484,5.0
267,qsar,mcar,0.4,knn,0.1128866468564394,3.0
268,qsar,mcar,0.4,mean,0.1723083978850618,6.0
269,qsar,mcar,0.4,median,0.1797705889637728,7.0
270,qsar,mcar,0.4,mice,0.1033891181189345,1.0
271,qsar,mcar,0.4,softimpute,0.1369685286874438,4.0
272,qsar,mcar,0.4,sudoku,0.1042184860301238,2.0
273,qsar,mcar,0.5,factorization,0.1671977510186675,5.0
274,qsar,mcar,0.5,knn,0.1331025776782279,2.0
275,qsar,mcar,0.5,mean,0.1706123196017612,6.0
276,qsar,mcar,0.5,median,0.1793677425402057,7.0
277,qsar,mcar,0.5,mice,0.1184646926866192,1.0
278,qsar,mcar,0.5,softimpute,0.1426425703956148,4.0
279,qsar,mcar,0.5,sudoku,0.1417742156172978,3.0
280,qsar,mnar,0.1,factorization,1.0631555930690966,4.0
281,qsar,mnar,0.1,knn,0.7248007337677065,2.0
282,qsar,mnar,0.1,mean,1.201155239752321,6.0
283,qsar,mnar,0.1,median,1.2368470728984502,7.0
284,qsar,mnar,0.1,mice,0.7030103109901178,1.0
285,qsar,mnar,0.1,softimpute,1.0885360533009245,5.0
286,qsar,mnar,0.1,sudoku,0.8588814098711974,3.0
287,qsar,mnar,0.2,factorization,1.068921163723844,4.0
288,qsar,mnar,0.2,knn,0.7354225210113123,2.0
289,qsar,mnar,0.2,mean,1.2028875447646734,6.0
